SYMBOL,token,,
AAREYDRUGS,1342721,,
AARNAV,195026177,,
AARON,263681,,
AARTECH,4389121,,
AARTIDRUGS,1147137,,
AARTIIND,1793,,
AARTIPHARM,3550209,,
AARTISURF,4923649,,
AARVI,4882689,,
AAVAS,1378561,,
ABAN,1986305,,
ABB,3329,,
ABBOTINDIA,4583169,,
ABCAPITAL,5533185,,
ABCOTS,194337281,,
ABDL,6222849,,
ABFRL,7707649,,
ABINFRA,6917121,,
ABLBL,193751809,,
ABMINTLLTD,1421057,,
ABREL,160001,,
ABSLAMC,1540609,,
ACC,5633,,
ACCELYA,1805569,,
ACCURACY,375041,,
ACE,3478273,,
ACEINTEG,3015425,,
ACI,3078145,,
ACL,3947521,,
ACMESOLAR,6927617,,
ACUTAAS,1427969,,
ADANIENSOL,2615553,,
ADANIENT,6401,,
ADANIGREEN,912129,,
ADANIPORTS,3861249,,
ADANIPOWER,4451329,,
ADFFOODS,5058817,,
ADL,62721,,
ADOR,8705,,
ADROITINFO,1267969,,
ADSL,3792129,,
ADVAIT,194728193,,
ADVANCE,194406913,,
ADVANIHOTR,3774721,,
ADVENTHTL,194500865,,
ADVENZYMES,4617985,,
AEGISLOG,10241,,
AEGISVOPAK,193878017,,
AEPL,194900481,,
AEQUS,194619905,,
AEROENTER,3075841,,
AEROFLEX,4676609,,
AERONEU,3504385,,
AETHER,2511361,,
AFCONS,6650113,,
AFFLE,2903809,,
AFFORDABLE,6618881,,
AFIL,6184961,,
AFSL,3401729,,
AGARIND,867585,,
AGARWALEYE,7539713,,
AGI,361473,,
AGIIL,6257921,,
AGRITECH,2834433,,
AGROPHOS,2315777,,
AGSTRA,194355713,,
AHCL,194295809,,
AHLADA,513025,,
AHLEAST,4976129,,
AHLUCONT,4565249,,
AHLWEST,4957697,,
AIAENG,3350017,,
AIIL,6029569,,
AIRAN,2533633,,
AIROLAM,1553409,,
AJANTPHARM,2079745,,
AJAXENGG,7583745,,
AJMERA,4430593,,
AJOONI,871169,,
AKASH,3458561,,
AKG,557057,,
AKI,3811841,,
AKSHAR,2446849,,
AKSHARCHEM,5165569,,
AKSHOPTFBR,2199297,,
AKUMS,6327041,,
AKZOINDIA,375553,,
ALANKIT,2539777,,
ALBERTDAVD,4417537,,
ALEMBICLTD,20225,,
ALGOQUANT,194885121,,
ALICON,3495937,,
ALIVUS,1347841,,
ALKALI,4341505,,
ALKEM,2995969,,
ALKYLAMINE,1148673,,
ALLCARGO,3456257,,
ALLDIGI,3020289,,
ALLTIME,194162689,,
ALMONDZ,4280065,,
ALOKINDS,4524801,,
ALPA,3801089,,
ALPHAGEO,3736833,,
AMAGI,194749441,,
AMANTA,194280705,,
AMBER,303361,,
AMBICAAGAR,2942977,,
AMBIKCO,3899905,,
AMBUJACEM,325121,,
AMDIND,3685889,,
AMIRCHAND,194987521,,
AMJLAND,665089,,
AMNPLST,5085953,,
AMRUTANJAN,4492033,,
ANANDRATHI,1829121,,
ANANTRAJ,3486721,,
ANDHRAPAP,42497,,
ANDHRSUGAR,34817,,
ANGELONE,82945,,
ANIKINDS,4264193,,
ANKITMETAL,6624769,,
ANMOL,954113,,
ANSALAPI,5037313,,
ANTELOPUS,3481089,,
ANTGRAPHIC,1329665,,
ANTHEM,194018561,,
ANUHPHR,7248385,,
ANUP,2307585,,
ANURAS,724225,,
APARINDS,2941697,,
APCL,5235969,,
APCOTEXIND,39425,,
APEX,5535489,,
APLAPOLLO,6599681,,
APLLTD,6483969,,
APOLLO,290305,,
APOLLOHOSP,40193,,
APOLLOPIPE,3676417,,
APOLLOTYRE,41729,,
APOLSINHOT,1613313,,
APTECHT,2753281,,
APTUS,1391361,,
AQYLON,5981441,,
ARCHIDPLY,4299521,,
ARCHIES,1456129,,
ARE&M,25601,,
ARENTERP,46337,,
ARFIN,194227201,,
ARIES,3892225,,
ARIHANTCAP,976129,,
ARIHANTSUP,5160705,,
ARIS,193949185,,
ARKADE,6501889,,
ARMANFIN,4419329,,
AROGRANITE,3726593,,
ARROWGREEN,2370561,,
ARSHIYA,7427841,,
ARSSBL,194548737,,
ARTEMISMED,4329729,,
ARTNIRMAN,1575937,,
ARVEE,720385,,
ARVIND,49409,,
ARVINDFASN,2332417,,
ARVSMART,2676993,,
ASAHIINDIA,1376769,,
ASAHISONG,6422529,,
ASAL,2722305,,
ASALCBR,4505089,,
ASHAPURMIN,51969,,
ASHIANA,6247169,,
ASHIMASYN,52737,,
ASHOKA,5166593,,
ASHOKAMET,4337409,,
ASHOKLEY,54273,,
ASIANENE,1799681,,
ASIANHOTNR,4716033,,
ASIANPAINT,60417,,
ASIANTILES,3811585,,
ASKAUTOLTD,5158913,,
ASMS,3600385,,
ASPINWALL,4421121,,
ASTEC,4538369,,
ASTERDM,386049,,
ASTRAL,3691009,,
ASTRAMICRO,2974209,,
ASTRAZEN,1436161,,
ASTRON,223745,,
ATALREAL,4006145,,
ATAM,3943425,,
ATGL,1552897,,
ATHERENERG,193957121,,
ATL,4551169,,
ATLANTAA,3477761,,
ATLANTAELE,194305793,,
ATLASCYCLE,1169409,,
ATUL,67329,,
ATULAUTO,7685889,,
AUBANK,5436929,,
AURIGROW,411393,,
AURIONPRO,3077633,,
AUROPHARMA,70401,,
AURUM,2639361,,
AUSOMENT,2312961,,
AUTOAXLES,71169,,
AUTOIND,3611137,,
AVADHSUGAR,5479937,,
AVALON,3854849,,
AVANTEL,6300161,,
AVANTIFEED,2031617,,
AVG,3990785,,
AVL,6651905,,
AVONMORE,3470593,,
AVROIND,2259713,,
AVTNPL,3586049,,
AWFIS,6109185,,
AWHCL,460033,,
AWL,2076161,,
AXISBANK,1510401,,
AXISCADES,2415617,,
AXITA,2534913,,
AYE,194811137,,
AYMSYNTEX,2632961,,
AZAD,5351681,,
BAFNAPH,4541953,,
BAGFILMS,2873857,,
BAIDFIN,3531265,,
BAJAJ-AUTO,4267265,,
BAJAJCON,4999937,,
BAJAJELEC,3848705,,
BAJAJFINSV,4268801,,
BAJAJHCARE,1756929,,
BAJAJHFL,6469121,,
BAJAJHIND,78849,,
BAJAJHLDNG,78081,,
BAJAJINDEF,7597569,,
BAJEL,5255937,,
BAJFINANCE,81153,,
BALAJEE,6451969,,
BALAJITELE,2344449,,
BALAMINES,3712257,,
BALAXI,2895105,,
BALKRISHNA,2606337,,
BALKRISIND,85761,,
BALMLAWRIE,86529,,
BALPHARMA,3440897,,
BALRAMCHIN,87297,,
BALUFORGE,6043393,,
BANARBEADS,88833,,
BANARISUG,89601,,
BANCOINDIA,3553281,,
